sled_arg_name,harmonized_name,source,resolved_in_mother
FRENTE JUSTICIALISTA BONAERENSEB,ALIANZA FRENTE JUSTICIALISTA BONAERENSEB,batch_lookup,True
FRENTE JUSTICIALISTA COMPROMISO POR MENDOZA,ALIANZA FRENTE JUSTICIALISTA COMPROMISO POR MENDOZAA,batch_lookup,True
FRENTE JUSTICIALISTA CREER ENTRE RIOS,FRENTE JUSTICIALISTA CREER ENTRE RÍOS,batch_lookup,True
FRENTE JUSTICIALISTA DE LA DIGNIDAD,FRENTE JUSTICIALISTA DE LA UNIDAD,batch_lookup,True
FRENTE JUSTICIALISTA DE LA RENOVACION,FRENTE JUSTICIALISTA DE LA RENOVACION,direct_match,
FRENTE JUSTICIALISTA DE LA UNIDAD,FRENTE JUSTICIALISTA DE LA UNIDAD,direct_match,
FRENTE JUSTICIALISTA DE LIBERACION,FRENTE JUSTICIALISTA DE LIBERACION,direct_match,
FRENTE JUSTICIALISTA DE LIBERACIONA,FRENTE JUSTICIALISTA DE LIBERACION,batch_lookup,True
FRENTE JUSTICIALISTA DESARROLLO Y ESPERANZA,FRENTE JUSTICIALISTA DESARROLLO Y ESPERANZA,direct_match,
FRENTE JUSTICIALISTA ENTRERRIANO,FRENTE JUSTICIALISTA ENTRERRIANO,direct_match,
FRENTE JUSTICIALISTA FEDERAL,FRENTE JUSTICIALISTA FEDERAL,direct_match,
FRENTE JUSTICIALISTA PAMPEANO,FRENTE JUSTICIALISTA PAMPEANO,direct_match,
FRENTE JUSTICIALISTA PARA LA VICTORIA,FRENTE JUSTICIALISTA PARA LA VICTORIA,direct_match,
FRENTE JUSTICIALISTA PARA LA VICTORIA -JUSTICIALISTA,FRENTE JUSTICIALISTA PARA LA VICTORIA -PARTIDO JUSTICIALISTA,batch_lookup,True
FRENTE JUSTICIALISTA POPULAR,FRENTE JUSTICIALISTA POPULAR,direct_match,
FRENTE JUSTICIALISTA POPULAR SANTACRUCEÑO,FRENTE JUSTICIALISTA POPULAR SANTACRUCEÑO,direct_match,
FRENTE JUSTICIALISTA POR LA DIGNIDAD,ALIANZA FRENTE JUSTICIALISTA POR LA DIGNIDAD,batch_lookup,True
FRENTE JUSTICIALISTA RENOVADOR,FRENTE JUSTICIALISTA RENOVADOR,direct_match,
FRENTE JUSTICIALISTA RENOVADOR PARA LA VICTORIA,FRENTE JUSTICIALISTA RENOVADOR PARA LA VICTORIA,direct_match,
FRENTE JUSTICIALISTA TODOS PARA EL CAMBIO,ALIANZA FRENTE JUSTICIALISTA TODOS PARA EL CAMBIO,batch_lookup,True
FRENTE JUSTICIALISTAPARA EL CAMBIO,ALIANZA FRENTE JUSTICIALISTAPARA EL CAMBIO,batch_lookup,True
FRENTE LA FUERZA DE TODOS,FRENTE LA FUERZA DE TODOS,direct_match,
FRENTE MAS BUENOS AIRES,ALIANZA FRENTE MAS BUENOS AIRES,batch_lookup,True
FRENTE MEMORIA Y MOVILIZACION,FRENTE MEMORIA Y MOVILIZACIÓN,batch_lookup,True
FRENTE MERCEDINOS POR EL CAMBIO,ALIANZA FRENTE MERCEDINOS POR EL CAMBIO,batch_lookup,True
FRENTE MERCEDINOS Y SANLUISEÑOS POR EL CAMBIO,FRENTE MERCEDINOS Y SANLUISEÑOS POR EL CAMBIO,direct_match,
FRENTE MOVIMIENTO POPULAR,FRENTE MOVIMIENTO POPULAR,direct_match,
FRENTE MOVIMIENTO VIDA Y COMPROMISO,MOVIMIENTO VIDA Y COMPROMISO,batch_lookup,True
FRENTE NUEVO,FRENTE NUEVO,direct_match,
FRENTE NUEVO NEUQUEN,FRENTE NUEVO NEUQUÉN,batch_lookup,True
FRENTE OLMEDO GOBERNADOR,FRENTE OLMEDO GOBERNADOR,direct_match,
FRENTE PAIS SOLIDARIO,FRENTE PAIS SOLIDARIO,direct_match,
FRENTE PAIS SOLIDARIO - MOVIMIENTO DE RENOVACION CIVICA,FRENTE PAIS SOLIDARIO - SOCIALISTA AUTENTICO,batch_lookup,True
FRENTE PAMPEANO CIVICO Y SOCIAL,ALIANZA FRENTE PAMPEANO CÍVICO Y SOCIAL,batch_lookup,True
FRENTE PAMPEANO PARA LA VICTORIA,FRENTE PAMPEANO PARA LA VICTORIA,direct_match,
FRENTE PARA EL CAMBIO,FRENTE PARA EL CAMBIO,direct_match,
FRENTE PARA LA COMUNIDAD ORGANIZADA,ALIANZA FRENTE PARA LA COMUNIDAD ORGANIZADAB,batch_lookup,True
FRENTE PARA LA VICTORIA,FRENTE PARA LA VICTORIA,direct_match,
FRENTE PARA LA VICTORIA - ARI - MID - ACCION DESARROLLISTA,ALIANZA FRENTE PARA LA VICTORIA - ARI - MID - ACCIÓN DESARROLLISTA,batch_lookup,True
FRENTE PARA LA VICTORIA - RENOVADOR DE SALTA,ALIANZA FRENTE PARA LA VICTORIA - RENOVADOR DE SALTAB,batch_lookup,True
FRENTE PARA LA VICTORIA DISTRITO RIO NEGRO,ALIANZA FRENTE PARA LA VICTORIA,batch_lookup,True
FRENTE PARA LA VICTORIA SANTACRUCEÑA,FRENTE PARA LA VICTORIA SANTACRUCEÑA,direct_match,
FRENTE PARA LA VICTORIA Y LA JUSTICIA SOCIAL,ALIANZA FRENTE PARA LA VICTORIA Y LA JUSTICIA SOCIAL,batch_lookup,True
FRENTE PARA LOS CORRENTINOS,FRENTE PARA LOS CORRENTINOS,direct_match,
FRENTE PARE LA VICTORIA,FREN PARA LA VICTORIA,batch_lookup,True
FRENTE PATRIOTICO CHUBUTENSE,ALIANZA FRENTE PATRIÓTICO CHUBUTENSE,batch_lookup,True
FRENTE PATRIOTICO LABORISTA,FRENTE PATRIOTICO LABORISTA,direct_match,
FRENTE PLURAL,FRENTE PLURAL,direct_match,
FRENTE POLITICO Y SOCIAL ELEGI,FRENTE POLÍTICO Y SOCIAL ELEGÍ,batch_lookup,True
FRENTE POLO SOCIAL,FRENTE POLO SOCIAL,direct_match,
FRENTE POPULAR,FRENTE POPULAR,direct_match,
FRENTE POPULAR BONAERENSE,ALIANZA FRENTE POPULAR BONAERENSE,batch_lookup,True
FRENTE POPULAR POR SALTA,ALIANZA FRENTE POPULAR POR SALTA,batch_lookup,True
FRENTE POPULAR SALTEÑO,FRENTE POPULAR SALTEÑO,direct_match,
"FRENTE POPULAR, AGRARIO Y SOCIAL","FRENTE POPULAR, AGRARIO Y SOCIALC",batch_lookup,True
FRENTE POR EL FUTURO,FRENTE POR EL FUTURO,direct_match,
FRENTE POR LA DIGNIDAD,FRENTE POR LA DIGNIDAD,direct_match,
"FRENTE POR LA SALUD, EDUCACION Y TRABAJO SETD","FRENTE POR LA SALUD, EDUCACIÓN Y TRABAJO SETD",batch_lookup,True
FRENTE PRIMERO JUJUY,FRENTE PRIMERO JUJUY,direct_match,
FRENTE PRIMERO JUJUYB,FRENTE PRIMERO JUJUY,batch_lookup,True
FRENTE PROGRESISTA CIVICO Y SOCIAL,FRENTE PROGRESISTA CIVICO Y SOCIAL,direct_match,
FRENTE PROGRESISTA POR LA IGUALDAD Y LA REPUBLICA,ALIANZA FRENTE PROGRESISTA POR LA IGUALDAD Y LA REPÚBLICAC,batch_lookup,True
FRENTE PROGRESISTA Y POPULAR,FRENTE PROGRESISTA Y POPULAR,direct_match,
"FRENTE PROGRESISTA, CIVICO Y SOCIAL","FRENTE PROGRESISTA, CIVICO Y SOCIAL",direct_match,
FRENTE PROVINCIA UNIDA,ALIANZA FRENTE PROVINCIA UNIDA,batch_lookup,True
